x1	x2	x3	x4	y
5.040166622126200924e-01	-6.135793493284529276e+00	9.338552111711779791e-01	2.066882610649561514e+01	8.918866057137656753e+02
5.175625496037919993e-01	5.649867748838804715e+00	1.213454033617717531e+00	8.663649876609472500e+00	3.452337127919743693e+02
6.820090812561464544e-01	1.044439326512816990e+01	1.276100502576966944e+00	-3.035703760284603980e+00	2.688032359780740990e+02
9.779438535000302135e-01	1.950003964946442636e+01	1.042229097529756787e+00	-1.991637823013093112e+01	1.688584699589563911e+02
1.292085462183167222e+00	1.030693864300185325e+01	7.503240684359802071e-01	-6.541237268483297562e+00	-4.158669775926794614e+02
1.440865108648025972e+00	5.314010140316580255e+00	7.136918063923949340e-01	1.483942665924265825e+00	-1.738632347110029457e+02
1.513647377394784277e+00	1.927307484447995378e+00	7.780801114608593139e-01	4.477386825920215863e+00	-1.727669889845192586e+02
1.516368386929229262e+00	-1.762009086010362768e+00	8.848519834365542458e-01	6.286940603020108931e+00	-2.064768463441903066e+02
1.431975541063479573e+00	-7.133257770754173777e+00	1.049887479726250294e+00	1.104286641399636082e+01	-3.399228224985604925e+02
1.232012592095975689e+00	-1.119683217868058023e+01	1.334350401829516919e+00	1.528106320557064279e+01	1.114643635651579956e+02
1.052491382632380068e+00	-6.553646280107752631e+00	1.567474087316978348e+00	7.597796216319880891e+00	1.905424123602432189e+02
9.458195508090271320e-01	-4.627138955455381897e+00	1.661207935894127186e+00	2.216321497507105942e+00	3.023873394668180481e+01
8.564104110545176507e-01	-4.311927526129960775e+00	1.662198547498108026e+00	-2.167225687187390726e+00	2.809367328617032200e+01
7.836530612857923739e-01	-2.373831178318466684e+00	1.569911977810586556e+00	-7.141757267321288793e+00	1.920853731777264102e+02
7.931327665427758689e-01	4.630602552336863909e+00	1.365125846438315582e+00	-1.447554693066838993e+01	6.065815912724357304e+02
1.040610241797831570e+00	1.579354803983576616e+01	8.897260311821466594e-01	-2.819561109123203479e+01	-6.788230798925667386e+02
1.178142390565780850e+00	-6.942568742366346246e-01	5.143492626082137864e-01	-1.195259101114360512e+01	-5.660701729727073825e+02
1.070772623727627604e+00	-9.265639623042593698e+00	3.603859141778132935e-01	-2.366452587825313536e+00	-3.460054695581404189e+02
7.762776343716140115e-01	-2.400726528116909364e+01	5.199024988859741736e-01	2.338582978983667005e+01	-1.230686137384490848e+03
3.289203405413244075e-01	-1.416655980109489299e+01	9.214650765445888680e-01	5.448087409617372145e+00	5.756263023965606180e+02
1.326014107172279188e-01	-4.818450884342196261e+00	8.281597056543446023e-01	-1.290494455032693466e+01	6.832901820395389905e+02
2.360610884732892156e-01	1.779469476301970232e+01	3.786935043944513191e-01	-3.586298669787625926e+01	9.238249681703647411e+02
4.463531439295475023e-01	-1.399450232228546476e+00	-1.859775346307012134e-01	-1.664927965455633796e+01	-9.428891292250664264e+02
2.779995064277423489e-01	-1.385022394595679529e+01	-3.548784008296286818e-01	1.650432432746521627e+00	-5.465774833235258257e+02
-1.789502102402848460e-01	-2.784614994448508085e+01	9.337300674348745014e-03	2.676317643439469052e+01	1.160168589825633944e+03
-5.236837894166116447e-01	-1.058731743156075567e+01	1.741215109226199320e-01	-5.330887246803721169e+00	4.778917425874170135e+02
-6.043500209786327737e-01	5.038882891027729904e+00	-9.328137479684771305e-02	-2.163194233246969844e+01	1.239515026743491262e+03
-3.233216887869344580e-01	1.039577223989254406e+01	-7.152360578138952096e-01	-2.660523578563507741e+01	-1.412775173009474429e+03
-3.214207798585980158e-01	-6.971117173239079534e+00	-1.045455638819006827e+00	-9.285296057762387534e+00	-4.683916147169064743e+02
-5.355103255562204678e-01	-1.490552173487730059e+01	-1.067941642874449260e+00	9.018582974285049403e+00	-6.834406025239784412e+02
-9.781241551628687692e-01	-2.053416620562725114e+01	-6.416906804187683111e-01	1.953606628552508795e+01	1.189352529884569094e+03
-1.233731709744125382e+00	-8.232771713825162152e+00	-5.080010701101849158e-01	-1.730318997267509928e+00	2.914472859020014539e+02
-1.336910200219407097e+00	-1.622874723536234187e+00	-6.271253140986083885e-01	-9.206335332055438414e+00	4.060582727985403722e+02
-1.266702128569385799e+00	1.021019641564731728e+01	-8.914254912647373574e-01	-1.956901515976223038e+01	8.508998915578490596e+02
-9.843993603706764350e-01	1.074237338613934689e+01	-1.368585342145931527e+00	-1.916218643064108562e+01	-7.768509839611156167e+02
-8.804897724032898498e-01	1.611149487770699107e+00	-1.615382252970259946e+00	-8.057321954156433819e+00	-2.143275871245113819e+02
-8.769581051043552344e-01	-7.150996491807944944e-01	-1.737975520919786909e+00	-4.567108164342642773e+00	-4.596161321211354789e+01
-8.945030560534115160e-01	-7.870263655037454953e-01	-1.806616242723281474e+00	-2.419983155150712495e+00	2.946677495952415882e+01
-9.016985866322946297e-01	1.727396336541834332e-01	-1.839365729268613192e+00	-9.184619853802840073e-01	6.005106093437552062e+01
-8.857976348831818614e-01	1.406586688413651309e+00	-1.843461603048096809e+00	5.826271231847164334e-01	5.706856896726331030e+01
-8.486438101238545917e-01	2.111922449908172350e+00	-1.810039642889071709e+00	2.949910625489819083e+00	2.579014178746598662e-01
-8.147601552710498352e-01	7.483922150345776458e-01	-1.717987128855414936e+00	6.411149026535729156e+00	-1.570456377953714764e+02
-8.539375510500938349e-01	-6.469989649685980559e+00	-1.530803093687282956e+00	1.418057427147450689e+01	-7.754754788606643388e+02
-1.238628030849969752e+00	-2.156348526348102723e+01	-9.257092817718584055e-01	3.352583931239089310e+01	2.160104082185766401e+03
-1.378755904824874978e+00	1.655988858533105956e+00	-5.723824229473274405e-01	1.044647652802709281e+01	5.823423784103428034e+02
-1.250820422169341972e+00	1.040015688567424945e+01	-4.593810083151014245e-01	-1.124073929677134487e+00	4.249663332053660838e+02
-7.965336605161158490e-01	4.011480642105551908e+01	-8.922484014488307746e-01	-4.755346967344159026e+01	-1.464342928318346594e+03
-3.936424974880379790e-01	1.090874838511570744e+01	-1.201743329220544165e+00	3.794622354504430195e+00	-4.181022157538510555e+02
-3.203864930593920968e-01	-8.360037288602203631e+00	-9.258981897073503831e-01	2.494406188947723280e+01	-2.050160342281468729e+03
-7.534887365988328645e-01	-6.115207299135783536e+00	-1.165435396149570729e-01	2.371288334478760973e+01	1.975403802033475813e+03
-6.259509473967670434e-01	1.467905599333312594e+01	1.262257934697838813e-01	-9.099816326163789881e-01	7.067755458901480097e+02
-5.397075027943246117e-03	2.964896241379090469e+01	-4.655709079720504739e-01	-2.851277880160500189e+01	-3.422495556970578946e+03
2.991400276309875150e-01	6.160252840120479689e+00	-4.845405901609712296e-01	1.517961750309336111e+01	-1.142559815064189024e+03
1.515460029531631725e-02	-3.204791202238185832e+01	2.135484744207269137e-01	5.420538652561852899e+01	3.238330884171490652e+03
-8.612588575118126921e-02	1.006299919777772267e+01	7.186162444089633228e-01	1.012637267465191826e+01	7.940519673314965985e+02
3.209579752065601088e-01	4.315904190033543841e+01	4.995712414869531437e-01	-4.909191797992340867e+01	3.104115643899673159e+03
8.485843364024673319e-01	1.260065203695075553e+01	5.270813483950216594e-02	3.518155631186002275e+00	-6.197448210334199530e+02
9.159285092272360096e-01	-1.114601398988997261e+01	3.497665454088152437e-01	2.765560540748985829e+01	-2.468399580720895756e+03
4.745075665597582870e-01	-5.073473695238792658e+00	1.153306866759672422e+00	2.107632770424661217e+01	1.614469750804162459e+03
5.699700066894308748e-01	1.067718351095102491e+01	1.388242165002182782e+00	2.346167992059334573e+00	3.488923020799186361e+02
9.770298389064083766e-01	4.100428622112119115e+01	1.045064802799703374e+00	-4.967971997615098445e+01	1.101176406145908459e+03
1.415310067240763470e+00	9.678887655999327322e+00	6.083706044439773919e-01	-2.119836591056789121e+00	-3.989298356883978158e+02
1.542755778329509830e+00	2.822594893819659667e+00	6.831666402772627045e-01	7.730424141848462938e+00	-4.078469393958126830e+02
1.497828816252668727e+00	-9.544823539754506925e+00	9.037370425832363940e-01	1.726043642603005424e+01	-1.167302985883127121e+03
1.077737575060885744e+00	-1.679570430963790173e+01	1.523586611606062569e+00	2.480966862722370792e+01	1.739746873146762255e+03
9.266436003413822675e-01	-3.170496290702097486e+00	1.776238045879643401e+00	6.680888647381303613e+00	1.824175564075724765e+02
8.822886130640663627e-01	-1.857329332472658079e+00	1.868408454393929219e+00	2.981680804693040532e+00	-6.596439073848883616e+00
